epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,1856.62,0.84079,1.20124,0.82521,0.90163,0.80098,0.86484,0.64161,0.7656,0.5993,0.82264,0.000111696,3.7232e-05,0.000111696,3.7232e-05,0.000111696,3.7232e-05,0.000111696,3.7232e-05
82,1915.86,0.82964,1.17701,0.83142,0.89319,0.80372,0.86761,0.64344,0.76379,0.59497,0.82233,0.00010638,3.54599e-05,0.00010638,3.54599e-05,0.00010638,3.54599e-05,0.00010638,3.54599e-05
83,1965.84,0.839,1.19858,0.83136,0.90589,0.79726,0.86851,0.64441,0.76403,0.59722,0.82208,0.000101063,3.36878e-05,0.000101063,3.36878e-05,0.000101063,3.36878e-05,0.000101063,3.36878e-05
84,2019.75,0.83894,1.1946,0.83049,0.89468,0.80474,0.86924,0.64349,0.76589,0.5953,0.82274,9.57471e-05,3.19157e-05,9.57471e-05,3.19157e-05,9.57471e-05,3.19157e-05,9.57471e-05,3.19157e-05
85,2074.55,0.83994,1.20447,0.83187,0.89606,0.81016,0.86959,0.64329,0.76658,0.59527,0.82229,9.04308e-05,3.01436e-05,9.04308e-05,3.01436e-05,9.04308e-05,3.01436e-05,9.04308e-05,3.01436e-05
86,2130.18,0.83588,1.19448,0.83045,0.89089,0.8159,0.87164,0.64393,0.76301,0.59263,0.82192,8.51145e-05,2.83715e-05,8.51145e-05,2.83715e-05,8.51145e-05,2.83715e-05,8.51145e-05,2.83715e-05
87,2188.81,0.83658,1.18131,0.83218,0.89752,0.81251,0.87374,0.65101,0.76238,0.5908,0.82202,7.97982e-05,2.65994e-05,7.97982e-05,2.65994e-05,7.97982e-05,2.65994e-05,7.97982e-05,2.65994e-05
88,2243.79,0.83513,1.18902,0.8349,0.89434,0.824,0.87361,0.65008,0.76048,0.58806,0.82178,7.44819e-05,2.48273e-05,7.44819e-05,2.48273e-05,7.44819e-05,2.48273e-05,7.44819e-05,2.48273e-05
89,2299.74,0.83385,1.17278,0.82977,0.90216,0.81731,0.87417,0.65132,0.76331,0.59044,0.82227,6.91656e-05,2.30552e-05,6.91656e-05,2.30552e-05,6.91656e-05,2.30552e-05,6.91656e-05,2.30552e-05
90,2357.4,0.82919,1.17676,0.83164,0.90059,0.82025,0.87436,0.64682,0.7635,0.58921,0.82187,6.38493e-05,2.12831e-05,6.38493e-05,2.12831e-05,6.38493e-05,2.12831e-05,6.38493e-05,2.12831e-05
91,2397.29,0.84571,1.54858,0.83693,0.86962,0.77662,0.83978,0.61221,0.79208,0.6643,0.82642,5.8533e-05,1.9511e-05,5.8533e-05,1.9511e-05,5.8533e-05,1.9511e-05,5.8533e-05,1.9511e-05
92,2436.01,0.82744,1.49845,0.8377,0.85258,0.77971,0.83799,0.6103,0.79177,0.66118,0.82666,5.32167e-05,1.77389e-05,5.32167e-05,1.77389e-05,5.32167e-05,1.77389e-05,5.32167e-05,1.77389e-05
93,2474.62,0.82256,1.47923,0.83535,0.87175,0.77461,0.84212,0.61566,0.78862,0.64844,0.82611,4.79004e-05,1.59668e-05,4.79004e-05,1.59668e-05,4.79004e-05,1.59668e-05,4.79004e-05,1.59668e-05
94,2509.2,0.82108,1.4852,0.83317,0.87489,0.77224,0.84568,0.6195,0.7878,0.64413,0.82573,4.25841e-05,1.41947e-05,4.25841e-05,1.41947e-05,4.25841e-05,1.41947e-05,4.25841e-05,1.41947e-05
95,2546.04,0.81753,1.44948,0.83462,0.86833,0.7896,0.85064,0.62343,0.7838,0.63458,0.8252,3.72678e-05,1.24226e-05,3.72678e-05,1.24226e-05,3.72678e-05,1.24226e-05,3.72678e-05,1.24226e-05
96,2584.61,0.8052,1.43778,0.83444,0.87988,0.78751,0.85333,0.62977,0.78065,0.62769,0.82459,3.19515e-05,1.06505e-05,3.19515e-05,1.06505e-05,3.19515e-05,1.06505e-05,3.19515e-05,1.06505e-05
97,2624.26,0.81229,1.45881,0.83119,0.87861,0.78807,0.85458,0.62949,0.78048,0.62677,0.82457,2.66352e-05,8.8784e-06,2.66352e-05,8.8784e-06,2.66352e-05,8.8784e-06,2.66352e-05,8.8784e-06
98,2663.04,0.81956,1.45991,0.83326,0.8826,0.78474,0.8547,0.62865,0.78158,0.62889,0.82447,2.13189e-05,7.1063e-06,2.13189e-05,7.1063e-06,2.13189e-05,7.1063e-06,2.13189e-05,7.1063e-06
99,2701.71,0.81004,1.44134,0.83266,0.88353,0.78475,0.85632,0.63055,0.78006,0.6257,0.82431,1.60026e-05,5.3342e-06,1.60026e-05,5.3342e-06,1.60026e-05,5.3342e-06,1.60026e-05,5.3342e-06
100,2739.86,0.80976,1.4443,0.83071,0.88331,0.78751,0.85711,0.63264,0.7797,0.6236,0.82442,1.06863e-05,3.5621e-06,1.06863e-05,3.5621e-06,1.06863e-05,3.5621e-06,1.06863e-05,3.5621e-06
